"m_id","temperature","humidity","m_name","winddirection","windspeed","m_date","lat","lot"
"0",,,"WT1","273.29","4.28","2023-04-11 11:28:03","35.456703","129.328354"
"1",,,"WT2","178.73","2.55","2023-04-11 11:28:03","35.456997","129.328217"
"2",,,"WT3","178.04","3.95","2023-04-11 11:28:03","35.456944","129.32666"
"3",,,"WT4","253.5","4.4","2023-04-11 11:28:03","35.455063","129.327988"
"4",,,"WT5","216.19","6.54","2023-04-11 11:28:03","35.45512","129.330215"
"5",,,"WT6","269.45","5.78","2023-04-11 11:28:03","35.455124","129.330612"
"6",,,"WT7","202.24","4.28","2023-04-11 11:28:03","35.455727","129.329498"
"7",,,"WT8","196.53","3.54","2023-04-11 11:28:03","35.456108","129.3302"
"8",,,"WT1","295.29","2.82","2023-04-11 11:26:57","35.456703","129.328354"
"9",,,"WT2","249.57","3","2023-04-11 11:26:57","35.456997","129.328217"
"10",,,"WT3","289.08","1.85","2023-04-11 11:26:57","35.456944","129.32666"
"11",,,"WT4","5.5","2.4","2023-04-11 11:26:57","35.455063","129.327988"
"12",,,"WT5","228.24","7.1","2023-04-11 11:26:57","35.45512","129.330215"
"13",,,"WT6","270.07","6.98","2023-04-11 11:26:57","35.455124","129.330612"
"14",,,"WT7","230.07","3.74","2023-04-11 11:26:57","35.455727","129.329498"
"15",,,"WT8","226.72","2.98","2023-04-11 11:26:57","35.456108","129.3302"
"16",,,"WT3","64","1.4","2023-04-11 11:26:17","35.456944","129.326667"
"17",,,"WT4","295","1.9","2023-04-11 11:25:51","35.455063","129.327988"
"18",,,"WT5","260.16","5.72","2023-04-11 11:25:51","35.45512","129.330215"
"19",,,"WT6","10","0.3","2023-04-11 11:25:51","35.455124","129.330612"
"20",,,"WT7","176.93","3.15","2023-04-11 11:25:51","35.455727","129.329498"
"21",,,"WT8","194.87","2.72","2023-04-11 11:25:51","35.456108","129.3302"
"24",,,"WT1","232.1","2.38","2023-04-11 11:24:50","35.456703","129.328354"
"25",,,"WT2","158.52","0.7","2023-04-11 11:24:50","35.456997","129.328217"
"26",,,"WT3","247.23","3.4","2023-04-11 11:24:50","35.456944","129.326667"
"27",,,"WT4","10","3.15","2023-04-11 11:24:50","35.455063","129.327988"
"28",,,"WT5","224.74","3.62","2023-04-11 11:24:50","35.45512","129.330215"
"29",,,"WT6","299.34","5.03","2023-04-11 11:24:50","35.455124","129.330612"
"30",,,"WT7","212.33","4.1","2023-04-11 11:24:50","35.455727","129.329498"
"31",,,"WT8","237.22","3.12","2023-04-11 11:24:50","35.456108","129.3302"
"32",,,"WT1","261.7","3.08","2023-04-11 11:23:44","35.456703","129.328354"
"33",,,"WT2","78","2.1","2023-04-11 11:23:44","35.456997","129.328217"
"34",,,"WT3","213.51","3.66","2023-04-11 11:23:44","35.456944","129.326667"
"35",,,"WT4","2.5","2.25","2023-04-11 11:23:44","35.455063","129.327988"
"36",,,"WT5","230.84","5.02","2023-04-11 11:23:44","35.45512","129.330215"
"37",,,"WT6","301.67","3.13","2023-04-11 11:23:44","35.455124","129.330612"
"38",,,"WT7","222.79","1.6","2023-04-11 11:23:44","35.455727","129.329498"
"39",,,"WT8","240.93","2.13","2023-04-11 11:23:44","35.456108","129.3302"
"40",,,"WT1","231.28","3.4","2023-04-11 11:22:38","35.456703","129.328354"
"41",,,"WT2","233.53","4.1","2023-04-11 11:22:38","35.456997","129.328217"
"42",,,"WT3","263.25","2.1","2023-04-11 11:22:38","35.456944","129.326667"
"43",,,"WT4","277.5","3.25","2023-04-11 11:22:38","35.455063","129.327988"
"44",,,"WT5","258.79","3.8","2023-04-11 11:22:38","35.45512","129.330215"
"45",,,"WT6","287.03","1.8","2023-04-11 11:22:38","35.455124","129.330612"
"46",,,"WT7","198.84","3.05","2023-04-11 11:22:38","35.455727","129.329498"
"47",,,"WT8","220.61","3.3","2023-04-11 11:22:38","35.456108","129.3302"
"48",,,"WT1","213.33","4.9","2023-04-11 11:21:32","35.456703","129.328354"
"49",,,"WT2","214.55","1.9","2023-04-11 11:21:32","35.456997","129.328217"
"50",,,"WT3","204.95","2.75","2023-04-11 11:21:32","35.456944","129.326667"
"51",,,"WT4","313","1.3","2023-04-11 11:21:32","35.455063","129.327988"
"52",,,"WT5","225.5","5.62","2023-04-11 11:21:32","35.45512","129.330215"
"53",,,"WT6","302.94","4.3","2023-04-11 11:21:32","35.455124","129.330612"
"54",,,"WT7","219.54","2.78","2023-04-11 11:21:32","35.455727","129.329498"
"55",,,"WT8","191.66","2.7","2023-04-11 11:21:32","35.456108","129.3302"
"56",,,"WT1","350","3.8","2023-04-11 11:20:26","35.456703","129.328354"
"57",,,"WT2","182.51","1.3","2023-04-11 11:20:26","35.456997","129.328217"
"58",,,"WT3","262.28","2.43","2023-04-11 11:20:26","35.456944","129.326667"
"59",,,"WT4","55","4","2023-04-11 11:20:26","35.455063","129.327988"
"60",,,"WT5","235.9","5.32","2023-04-11 11:20:26","35.45512","129.330215"
"61",,,"WT6","285","3.93","2023-04-11 11:20:26","35.455124","129.330612"
"62",,,"WT7","205.23","2.15","2023-04-11 11:20:26","35.455727","129.329498"
"63",,,"WT8","211.41","3.33","2023-04-11 11:20:26","35.456108","129.3302"
"64",,,"WT1","197.59","3.03","2023-04-11 11:19:20","35.456703","129.328354"
"65",,,"WT2","230.66","3.1","2023-04-11 11:19:20","35.456997","129.328217"
"66",,,"WT3","224.36","2.97","2023-04-11 11:19:20","35.456944","129.326667"
"67",,,"WT4","39.5","1.4","2023-04-11 11:19:20","35.455063","129.327988"
"68",,,"WT5","230.82","4.97","2023-04-11 11:19:20","35.45512","129.330215"
"69",,,"WT6","252","2.9","2023-04-11 11:19:20","35.455124","129.330612"
"70",,,"WT7","176.91","1.8","2023-04-11 11:19:20","35.455727","129.329498"
"71",,,"WT8","229.5","2.1","2023-04-11 11:19:20","35.456108","129.3302"
"72",,,"WT1","237.14","2.15","2023-04-11 11:18:14","35.456703","129.328354"
"73",,,"WT2","219.82","2.57","2023-04-11 11:18:14","35.456997","129.328217"
"74",,,"WT3","192.42","1.77","2023-04-11 11:18:14","35.456944","129.326667"
"75",,,"WT4","256","2.85","2023-04-11 11:18:14","35.455063","129.327988"
"76",,,"WT5","214","6.3","2023-04-11 11:18:14","35.45512","129.330215"
"77",,,"WT6","7.98","1.6","2023-04-11 11:18:15","35.455124","129.330612"
"78",,,"WT7","216.34","1.93","2023-04-11 11:18:15","35.455727","129.329498"
"79",,,"WT8","142.5","3.3","2023-04-11 11:18:15","35.456108","129.3302"
"80",,,"WT1","214.76","5.54","2023-04-11 11:17:08","35.456703","129.328354"
"81",,,"WT2","233.18","3.4","2023-04-11 11:17:08","35.456997","129.328217"
"82",,,"WT3","174.5","4.65","2023-04-11 11:17:08","35.456944","129.326667"
"83",,,"WT4","5","3.7","2023-04-11 11:17:09","35.455063","129.327988"
"84",,,"WT5","259.24","4.9","2023-04-11 11:17:09","35.45512","129.330215"
"85",,,"WT6","24.18","1.6","2023-04-11 11:17:10","35.455124","129.330612"
"86",,,"WT7","187.05","3.8","2023-04-11 11:17:09","35.455727","129.329498"
"87",,,"WT8","219.53","2.77","2023-04-11 11:17:09","35.456108","129.3302"
"88",,,"WT1","234.52","5","2023-04-11 11:16:02","35.456703","129.328354"
"89",,,"WT2","215.83","3.87","2023-04-11 11:16:02","35.456997","129.328217"
"90",,,"WT3","213.94","2.64","2023-04-11 11:16:02","35.456944","129.326667"
"91",,,"WT4","5.5","2.75","2023-04-11 11:16:02","35.455063","129.327988"
"92",,,"WT5","262.37","5.18","2023-04-11 11:16:03","35.45512","129.330215"
"93",,,"WT6","298.89","3.73","2023-04-11 11:16:03","35.455124","129.330612"
"94",,,"WT7","203.18","4.65","2023-04-11 11:16:03","35.455727","129.329498"
"95",,,"WT8","187.37","2.95","2023-04-11 11:16:03","35.456108","129.3302"
"96",,,"WT1","201.23","4.13","2023-04-11 11:14:56","35.456703","129.328354"
"97",,,"WT2","172.96","2.78","2023-04-11 11:14:56","35.456997","129.328217"
"98",,,"WT3","192.73","2.87","2023-04-11 11:14:56","35.456944","129.326667"
"99",,,"WT4","319","3.7","2023-04-11 11:14:56","35.455063","129.327988"
"100",,,"WT5","241.34","5.43","2023-04-11 11:14:56","35.45512","129.330215"
"101",,,"WT6","315.5","2.75","2023-04-11 11:14:56","35.455124","129.330612"
"102",,,"WT7","189.8","4.5","2023-04-11 11:14:56","35.455727","129.329498"
"103",,,"WT8","119.5","3.15","2023-04-11 11:14:56","35.456108","129.3302"
"104",,,"WT1","206.58","3.28","2023-04-11 11:13:50","35.456703","129.328354"
"105",,,"WT2","221.61","2.52","2023-04-11 11:13:50","35.456997","129.328217"
"106",,,"WT3","214.23","2.2","2023-04-11 11:13:50","35.456944","129.326667"
"107",,,"WT4","13.19","2.43","2023-04-11 11:13:50","35.455063","129.327988"
"108",,,"WT5","346","6.2","2023-04-11 11:13:50","35.45512","129.330215"
"109",,,"WT6","21.62","1.83","2023-04-11 11:13:50","35.455124","129.330612"
"110",,,"WT7","226.66","2.07","2023-04-11 11:13:50","35.455727","129.329498"
"111",,,"WT8","183.12","2.15","2023-04-11 11:13:50","35.456108","129.3302"
"112",,,"WT1","207","4.45","2023-04-11 11:12:44","35.456703","129.328354"
"113",,,"WT2","206.78","3.62","2023-04-11 11:12:44","35.456997","129.328217"
"114",,,"WT3","238.59","2.85","2023-04-11 11:12:44","35.456944","129.326667"
"115",,,"WT4","8","3.75","2023-04-11 11:12:44","35.455063","129.327988"
"116",,,"WT5","304.41","2.73","2023-04-11 11:12:44","35.45512","129.330215"
"117",,,"WT6","30.07","1.73","2023-04-11 11:12:44","35.455124","129.330612"
"118",,,"WT7","200.12","1.7","2023-04-11 11:12:44","35.455727","129.329498"
"119",,,"WT8","213.51","2.72","2023-04-11 11:12:44","35.456108","129.3302"
"120",,,"WT1","219.37","3.72","2023-04-11 11:11:38","35.456703","129.328354"
"121",,,"WT2","225.69","2.74","2023-04-11 11:11:38","35.456997","129.328217"
"122",,,"WT3","238.81","1.34","2023-04-11 11:11:38","35.456944","129.326667"
"123",,,"WT4","251.59","2.97","2023-04-11 11:11:38","35.455063","129.327988"
"124",,,"WT5","281.79","3.47","2023-04-11 11:11:38","35.45512","129.330215"
"125",,,"WT6","60.5","1.05","2023-04-11 11:11:38","35.455124","129.330612"
"126",,,"WT7","215.07","1.9","2023-04-11 11:11:38","35.455727","129.329498"
"127",,,"WT8","200.01","2.2","2023-04-11 11:11:38","35.456108","129.3302"
"128",,,"WT1","208.25","5.55","2023-04-11 11:10:32","35.456703","129.328354"
"129",,,"WT2","221.14","2.62","2023-04-11 11:10:32","35.456997","129.328217"
"130",,,"WT3","238.85","1.45","2023-04-11 11:10:32","35.456944","129.326667"
"131",,,"WT4","272.76","1.6","2023-04-11 11:10:32","35.455063","129.327988"
"132",,,"WT5","324","1.55","2023-04-11 11:10:32","35.45512","129.330215"
"133",,,"WT6","44","1.35","2023-04-11 11:10:32","35.455124","129.330612"
"134",,,"WT7","155.18","2.23","2023-04-11 11:10:32","35.455727","129.329498"
"135",,,"WT8","227","2.2","2023-04-11 11:10:32","35.456108","129.3302"
"136",,,"WT1","284.09","2.17","2023-04-11 11:09:26","35.456703","129.328354"
"137",,,"WT2","252","1.7","2023-04-11 11:09:26","35.456997","129.328217"
"138",,,"WT3","248.33","2.47","2023-04-11 11:09:26","35.456944","129.326667"
"139",,,"WT4","298.82","2.03","2023-04-11 11:09:26","35.455063","129.327988"
"140",,,"WT5","227.5","6.1","2023-04-11 11:09:26","35.45512","129.330215"
"141",,,"WT6","257.82","2.8","2023-04-11 11:09:26","35.455124","129.330612"
"142",,,"WT7","218.68","2.75","2023-04-11 11:09:26","35.455727","129.329498"
"143",,,"WT8","220.61","1.32","2023-04-11 11:09:26","35.456108","129.3302"
"144",,,"WT1","295.23","2.3","2023-04-11 11:08:20","35.456703","129.328354"
"145",,,"WT2","255.33","1.87","2023-04-11 11:08:20","35.456997","129.328217"
"146",,,"WT3","153.68","3.2","2023-04-11 11:08:20","35.456944","129.326667"
"147",,,"WT4","168","2.25","2023-04-11 11:08:20","35.455063","129.327988"
"148",,,"WT5","214.41","4.2","2023-04-11 11:08:20","35.45512","129.330215"
"149",,,"WT6","292.66","3.17","2023-04-11 11:08:20","35.455124","129.330612"
"150",,,"WT7","194.69","3.93","2023-04-11 11:08:20","35.455727","129.329498"
"151",,,"WT8","226.34","1.92","2023-04-11 11:08:20","35.456108","129.3302"
"152",,,"WT1","236.5","2.5","2023-04-11 11:07:14","35.456703","129.328354"
"153",,,"WT2","264.2","3.04","2023-04-11 11:07:14","35.456997","129.328217"
"154",,,"WT3","180.64","3.58","2023-04-11 11:07:14","35.456944","129.326667"
"155",,,"WT4","22","1.55","2023-04-11 11:07:14","35.455063","129.327988"
"156",,,"WT5","226.07","2.45","2023-04-11 11:07:14","35.45512","129.330215"
"157",,,"WT6","267.89","2.33","2023-04-11 11:07:14","35.455124","129.330612"
"158",,,"WT7","149","2.45","2023-04-11 11:07:14","35.455727","129.329498"
"159",,,"WT8","269.21","2.8","2023-04-11 11:07:14","35.456108","129.3302"
"160",,,"WT1","294.32","2.16","2023-04-11 11:06:08","35.456703","129.328354"
"161",,,"WT2","245.29","2.3","2023-04-11 11:06:08","35.456997","129.328217"
"162",,,"WT3","207.39","2.2","2023-04-11 11:06:08","35.456944","129.326667"
"163",,,"WT4","146","1.2","2023-04-11 11:06:08","35.455063","129.327988"
"164",,,"WT5","285","3.75","2023-04-11 11:06:08","35.45512","129.330215"
"165",,,"WT6","30","2.65","2023-04-11 11:06:08","35.455124","129.330612"
"166",,,"WT7","221.25","2.28","2023-04-11 11:06:08","35.455727","129.329498"
"167",,,"WT8","253.5","2.33","2023-04-11 11:06:08","35.456108","129.3302"
"168",,,"WT1","302.98","1.78","2023-04-11 11:05:02","35.456703","129.328354"
"169",,,"WT2","229","6.7","2023-04-11 11:05:02","35.456997","129.328217"
"170",,,"WT3","181.1","4.8","2023-04-11 11:05:02","35.456944","129.326667"
"171",,,"WT4","213.93","3.2","2023-04-11 11:05:02","35.455063","129.327988"
"172",,,"WT5","314.5","3","2023-04-11 11:05:02","35.45512","129.330215"
"173",,,"WT6","73.5","1.3","2023-04-11 11:05:02","35.455124","129.330612"
"174",,,"WT7","210.83","2.68","2023-04-11 11:05:02","35.455727","129.329498"
"175",,,"WT8","276.55","2.83","2023-04-11 11:05:02","35.456108","129.3302"
"176",,,"WT1","304","3.45","2023-04-11 11:03:56","35.456703","129.328354"
"177",,,"WT2","244.5","1.15","2023-04-11 11:03:56","35.456997","129.328217"
"178",,,"WT3","246.9","2.63","2023-04-11 11:03:56","35.456944","129.326667"
"179",,,"WT4","249","2.23","2023-04-11 11:03:56","35.455063","129.327988"
"180",,,"WT5","276.26","2.78","2023-04-11 11:03:56","35.45512","129.330215"
"181",,,"WT6","27.32","1.53","2023-04-11 11:03:56","35.455124","129.330612"
"182",,,"WT7","210.7","2.27","2023-04-11 11:03:56","35.455727","129.329498"
"183",,,"WT8","293.74","1.2","2023-04-11 11:03:56","35.456108","129.3302"
"184",,,"WT1","241.62","2.9","2023-04-11 11:02:50","35.456703","129.328354"
"185",,,"WT2","230.79","2.6","2023-04-11 11:02:50","35.456997","129.328217"
"186",,,"WT3","159.44","2.4","2023-04-11 11:02:50","35.456944","129.326667"
"187",,,"WT4","234.33","3.23","2023-04-11 11:02:50","35.455063","129.327988"
"188",,,"WT5","0","3.1","2023-04-11 11:02:50","35.45512","129.330215"
"189",,,"WT6","9","3.25","2023-04-11 11:02:50","35.455124","129.330612"
"190",,,"WT7","208.18","2.28","2023-04-11 11:02:50","35.455727","129.329498"
"191",,,"WT8","246.79","3.58","2023-04-11 11:02:50","35.456108","129.3302"
"192",,,"WT1","322.41","3.76","2023-04-11 11:01:44","35.456703","129.328354"
"193",,,"WT2","209.27","2.5","2023-04-11 11:01:44","35.456997","129.328217"
"194",,,"WT3","277.84","1.68","2023-04-11 11:01:44","35.456944","129.326667"
"195",,,"WT4","227.63","4.37","2023-04-11 11:01:44","35.455063","129.327988"
"196",,,"WT5","236.67","5.47","2023-04-11 11:01:44","35.45512","129.330215"
"197",,,"WT6","267.35","3.72","2023-04-11 11:01:44","35.455124","129.330612"
"198",,,"WT7","224","1.9","2023-04-11 11:01:44","35.455727","129.329498"
"199",,,"WT8","265","2.1","2023-04-11 11:01:44","35.456108","129.3302"
"200",,,"WT1","306.61","4.64","2023-04-11 11:00:38","35.456703","129.328354"
"201",,,"WT2","25.64","1.1","2023-04-11 11:00:38","35.456997","129.328217"
"202",,,"WT3","252.26","3.5","2023-04-11 11:00:38","35.456944","129.326667"
"203",,,"WT4","212.5","1.08","2023-04-11 11:00:38","35.455063","129.327988"
"204",,,"WT5","228.22","5.38","2023-04-11 11:00:38","35.45512","129.330215"
"205",,,"WT6","281.95","4.88","2023-04-11 11:00:38","35.455124","129.330612"
"206",,,"WT7","203.26","2.28","2023-04-11 11:00:38","35.455727","129.329498"
"207",,,"WT8","250.1","3.08","2023-04-11 11:00:38","35.456108","129.3302"
"208",,,"WT1","308.63","2.33","2023-04-11 10:59:32","35.456703","129.328354"
"209",,,"WT2","222.55","2.43","2023-04-11 10:59:32","35.456997","129.328217"
"210",,,"WT3","210.18","3.05","2023-04-11 10:59:32","35.456944","129.326667"
"211",,,"WT4","242.34","4.03","2023-04-11 10:59:32","35.455063","129.327988"
"212",,,"WT5","195.5","1.65","2023-04-11 10:59:32","35.45512","129.330215"
"213",,,"WT6","289.55","1.42","2023-04-11 10:59:32","35.455124","129.330612"
"214",,,"WT7","233.76","3.55","2023-04-11 10:59:32","35.455727","129.329498"
"215",,,"WT8","282.85","2.43","2023-04-11 10:59:32","35.456108","129.3302"
"216",,,"WT1","315.5","5.85","2023-04-11 10:58:26","35.456703","129.328354"
"217",,,"WT2","248.05","2.53","2023-04-11 10:58:26","35.456997","129.328217"
"218",,,"WT3","266.5","3.3","2023-04-11 10:58:26","35.456944","129.326667"
"219",,,"WT4","296.65","1.33","2023-04-11 10:58:26","35.455063","129.327988"
"220",,,"WT5","235.5","4.15","2023-04-11 10:58:26","35.45512","129.330215"
"221",,,"WT6","310","1.35","2023-04-11 10:58:26","35.455124","129.330612"
"222",,,"WT7","144.5","1.65","2023-04-11 10:58:26","35.455727","129.329498"
"223",,,"WT8","310.5","1.3","2023-04-11 10:58:26","35.456108","129.3302"
"224",,,"WT1","207.5","2.35","2023-04-11 10:57:20","35.456703","129.328354"
"225",,,"WT2","250","1.6","2023-04-11 10:57:20","35.456997","129.328217"
"226",,,"WT3","238.23","1.88","2023-04-11 10:57:20","35.456944","129.326667"
"227",,,"WT4","288","2","2023-04-11 10:57:20","35.455063","129.327988"
"228",,,"WT5","288.43","4.93","2023-04-11 10:57:20","35.45512","129.330215"
"229",,,"WT6","10","3.5","2023-04-11 10:57:20","35.455124","129.330612"
"230",,,"WT7","235.74","2.17","2023-04-11 10:57:20","35.455727","129.329498"
"231",,,"WT8","169.27","2.5","2023-04-11 10:57:20","35.456108","129.3302"
"232",,,"WT1","237.28","2.73","2023-04-11 10:56:14","35.456703","129.328354"
"233",,,"WT2","232.51","1.53","2023-04-11 10:56:14","35.456997","129.328217"
"234",,,"WT3","226.14","2.36","2023-04-11 10:56:14","35.456944","129.326667"
"235",,,"WT4","238","2.1","2023-04-11 10:56:14","35.455063","129.327988"
"236",,,"WT5","220","4","2023-04-11 10:56:14","35.45512","129.330215"
"237",,,"WT6","38","1.75","2023-04-11 10:56:14","35.455124","129.330612"
"238",,,"WT7","245.99","3.2","2023-04-11 10:56:14","35.455727","129.329498"
"239",,,"WT8","225","2.6","2023-04-11 10:56:14","35.456108","129.3302"
"240",,,"WT1","205","4.2","2023-04-11 10:55:08","35.456703","129.328354"
"241",,,"WT2","249.6","2.4","2023-04-11 10:55:08","35.456997","129.328217"
"242",,,"WT3","209.89","2.12","2023-04-11 10:55:08","35.456944","129.326667"
"243",,,"WT4","327","2.55","2023-04-11 10:55:08","35.455063","129.327988"
"244",,,"WT5","295.5","2.8","2023-04-11 10:55:08","35.45512","129.330215"
"245",,,"WT6","32.19","1.03","2023-04-11 10:55:08","35.455124","129.330612"
"246",,,"WT7","217.87","2.07","2023-04-11 10:55:08","35.455727","129.329498"
"247",,,"WT8","253.15","2.9","2023-04-11 10:55:08","35.456108","129.3302"
"248",,,"WT1","73","1.7","2023-04-11 10:54:02","35.456703","129.328354"
"249",,,"WT2","249.34","1.57","2023-04-11 10:54:02","35.456997","129.328217"
"250",,,"WT3","184.5","1.88","2023-04-11 10:54:02","35.456944","129.326667"
"251",,,"WT4","229.5","4.1","2023-04-11 10:54:02","35.455063","129.327988"
"252",,,"WT5","232.75","2.33","2023-04-11 10:54:02","35.45512","129.330215"
"253",,,"WT6","297","2.75","2023-04-11 10:54:02","35.455124","129.330612"
"254",,,"WT7","213.74","2.82","2023-04-11 10:54:02","35.455727","129.329498"
"255",,,"WT8","259.25","2.5","2023-04-11 10:54:02","35.456108","129.3302"
"256",,,"WT1","269.78","1.45","2023-04-11 10:52:56","35.456703","129.328354"
"257",,,"WT2","229.72","1.72","2023-04-11 10:52:56","35.456997","129.328217"
"258",,,"WT3","248.02","0.87","2023-04-11 10:52:56","35.456944","129.326667"
"259",,,"WT4","5","1.6","2023-04-11 10:52:56","35.455063","129.327988"
"260",,,"WT5","237.25","4.75","2023-04-11 10:52:56","35.45512","129.330215"
"261",,,"WT6","257.02","3.28","2023-04-11 10:52:56","35.455124","129.330612"
"262",,,"WT7","180","2.8","2023-04-11 10:52:56","35.455727","129.329498"
"263",,,"WT8","215","1.75","2023-04-11 10:52:56","35.456108","129.3302"
"264",,,"WT1","299.5","1.38","2023-04-11 10:51:50","35.456703","129.328354"
"265",,,"WT2","54.41","1.33","2023-04-11 10:51:50","35.456997","129.328217"
"266",,,"WT3","249.45","3.58","2023-04-11 10:51:50","35.456944","129.326667"
"267",,,"WT4","244.2","1.2","2023-04-11 10:51:50","35.455063","129.327988"
